2025/11/12 17:41:57 INFO mlflow.projects.utils: === Created directory /tmp/tmpq64t5c5i for downloading remote URIs passed to arguments of type 'path' ===
2025/11/12 17:41:57 INFO mlflow.projects.backend.local: === Running command 'python run.py --training_threshold=-1000000000000 --deploy=0 --project_name=freeway_experiments --parent_run_id='' --preprocessor='' --env='Taxi with Fuel' --sliding_window_size=100 --num_episodes=10000 --eval_interval=9 --alpha=0.99 --rl_algorithm=qreinforce --prism_dir=../prism_files --prism_file_path=freeway.prism --constant_definitions='' --prop='' --reward_flag=1 --max_steps=100 --disabled_features='' --wrong_action_penalty=1000 --postprocessor='' --layers=2 --neurons=64 --replay_buffer_size=300000 --epsilon=1 --epsilon_dec=0.9999 --epsilon_min=0.1 --gamma=0.99 --replace=304 --lr=0.01 --batch_size=32 --noise_scale=0.01 --prob_threshold=0 --task safe_training --seed 128 --interpreter '' --range_plotting 1' in run with ID '1bf5c58a4d304ea8b2e38465e6e902b0' === 
Set Seed to 128
/workspaces/coolmc/mlruns/437278008735162994/fb883d5ba68041cb9674883a2528efe3/artifacts/model
Warning: Model checkpoint not found at /workspaces/coolmc/mlruns/437278008735162994/fb883d5ba68041cb9674883a2528efe3/artifacts/model/quantum_reinforce.pth
Agent loaded.
0 Episode	Reward 0.0 	Average Reward 0.0 	Last Property Result: None
154 Episode	Reward 1.0 	Average Reward 0.1 	Last Property Result: None
155 Episode	Reward 0.0 	Average Reward 0.1 	Last Property Result: None
156 Episode	Reward 0.0 	Average Reward 0.1 	Last Property Result: None
157 Episode	Reward 0.0 	Average Reward 0.1 	Last Property Result: None
158 Episode	Reward 0.0 	Average Reward 0.1 	Last Property Result: None
159 Episode	Reward 0.0 	Average Reward 0.1 	Last Property Result: None
160 Episode	Reward 0.0 	Average Reward 0.1 	Last Property Result: None
161 Episode	Reward 0.0 	Average Reward 0.1 	Last Property Result: None
162 Episode	Reward 1.0 	Average Reward 0.11 	Last Property Result: None
163 Episode	Reward 0.0 	Average Reward 0.11 	Last Property Result: None
164 Episode	Reward 0.0 	Average Reward 0.11 	Last Property Result: None
165 Episode	Reward 0.0 	Average Reward 0.11 	Last Property Result: None
166 Episode	Reward 0.0 	Average Reward 0.1 	Last Property Result: None
167 Episode	Reward 0.0 	Average Reward 0.1 	Last Property Result: None
168 Episode	Reward 0.0 	Average Reward 0.1 	Last Property Result: None
169 Episode	Reward 1.0 	Average Reward 0.11 	Last Property Result: None
170 Episode	Reward 1.0 	Average Reward 0.12 	Last Property Result: None
171 Episode	Reward 0.0 	Average Reward 0.12 	Last Property Result: None
172 Episode	Reward 0.0 	Average Reward 0.12 	Last Property Result: None
173 Episode	Reward 0.0 	Average Reward 0.12 	Last Property Result: None
174 Episode	Reward 0.0 	Average Reward 0.12 	Last Property Result: None
175 Episode	Reward 0.0 	Average Reward 0.12 	Last Property Result: None
176 Episode	Reward 0.0 	Average Reward 0.12 	Last Property Result: None
177 Episode	Reward 0.0 	Average Reward 0.12 	Last Property Result: None
178 Episode	Reward 0.0 	Average Reward 0.12 	Last Property Result: None
179 Episode	Reward 0.0 	Average Reward 0.12 	Last Property Result: None
180 Episode	Reward 1.0 	Average Reward 0.13 	Last Property Result: None
181 Episode	Reward 0.0 	Average Reward 0.13 	Last Property Result: None
182 Episode	Reward 1.0 	Average Reward 0.14 	Last Property Result: None
183 Episode	Reward 0.0 	Average Reward 0.14 	Last Property Result: None
184 Episode	Reward 0.0 	Average Reward 0.13 	Last Property Result: None
185 Episode	Reward 0.0 	Average Reward 0.13 	Last Property Result: None
186 Episode	Reward 1.0 	Average Reward 0.14 	Last Property Result: None
187 Episode	Reward 0.0 	Average Reward 0.14 	Last Property Result: None
188 Episode	Reward 1.0 	Average Reward 0.15 	Last Property Result: None
189 Episode	Reward 0.0 	Average Reward 0.15 	Last Property Result: None
190 Episode	Reward 0.0 	Average Reward 0.15 	Last Property Result: None
191 Episode	Reward 1.0 	Average Reward 0.16 	Last Property Result: None
192 Episode	Reward 1.0 	Average Reward 0.17 	Last Property Result: None
193 Episode	Reward 1.0 	Average Reward 0.18 	Last Property Result: None
194 Episode	Reward 0.0 	Average Reward 0.18 	Last Property Result: None
195 Episode	Reward 0.0 	Average Reward 0.17 	Last Property Result: None
196 Episode	Reward 0.0 	Average Reward 0.16 	Last Property Result: None
197 Episode	Reward 0.0 	Average Reward 0.16 	Last Property Result: None
198 Episode	Reward 0.0 	Average Reward 0.16 	Last Property Result: None
199 Episode	Reward 1.0 	Average Reward 0.17 	Last Property Result: None
200 Episode	Reward 0.0 	Average Reward 0.17 	Last Property Result: None
201 Episode	Reward 0.0 	Average Reward 0.17 	Last Property Result: None
202 Episode	Reward 1.0 	Average Reward 0.18 	Last Property Result: None
203 Episode	Reward 1.0 	Average Reward 0.19 	Last Property Result: None
204 Episode	Reward 1.0 	Average Reward 0.2 	Last Property Result: None
205 Episode	Reward 1.0 	Average Reward 0.21 	Last Property Result: None
206 Episode	Reward 0.0 	Average Reward 0.21 	Last Property Result: None
207 Episode	Reward 0.0 	Average Reward 0.21 	Last Property Result: None
208 Episode	Reward 1.0 	Average Reward 0.22 	Last Property Result: None
209 Episode	Reward 0.0 	Average Reward 0.22 	Last Property Result: None
210 Episode	Reward 0.0 	Average Reward 0.21 	Last Property Result: None
211 Episode	Reward 1.0 	Average Reward 0.22 	Last Property Result: None
212 Episode	Reward 0.0 	Average Reward 0.22 	Last Property Result: None
213 Episode	Reward 0.0 	Average Reward 0.22 	Last Property Result: None
214 Episode	Reward 0.0 	Average Reward 0.22 	Last Property Result: None
215 Episode	Reward 1.0 	Average Reward 0.23 	Last Property Result: None
216 Episode	Reward 0.0 	Average Reward 0.23 	Last Property Result: None
217 Episode	Reward 0.0 	Average Reward 0.22 	Last Property Result: None
218 Episode	Reward 1.0 	Average Reward 0.23 	Last Property Result: None
219 Episode	Reward 1.0 	Average Reward 0.24 	Last Property Result: None
220 Episode	Reward 0.0 	Average Reward 0.24 	Last Property Result: None
221 Episode	Reward 0.0 	Average Reward 0.24 	Last Property Result: None
222 Episode	Reward 1.0 	Average Reward 0.25 	Last Property Result: None
223 Episode	Reward 0.0 	Average Reward 0.25 	Last Property Result: None
224 Episode	Reward 1.0 	Average Reward 0.26 	Last Property Result: None
225 Episode	Reward 1.0 	Average Reward 0.27 	Last Property Result: None
226 Episode	Reward 1.0 	Average Reward 0.28 	Last Property Result: None
227 Episode	Reward 0.0 	Average Reward 0.28 	Last Property Result: None
228 Episode	Reward 1.0 	Average Reward 0.29 	Last Property Result: None
229 Episode	Reward 0.0 	Average Reward 0.29 	Last Property Result: None
230 Episode	Reward 1.0 	Average Reward 0.3 	Last Property Result: None
231 Episode	Reward 1.0 	Average Reward 0.31 	Last Property Result: None
232 Episode	Reward 0.0 	Average Reward 0.31 	Last Property Result: None
233 Episode	Reward 0.0 	Average Reward 0.31 	Last Property Result: None
234 Episode	Reward 0.0 	Average Reward 0.31 	Last Property Result: None
235 Episode	Reward 1.0 	Average Reward 0.31 	Last Property Result: None
236 Episode	Reward 1.0 	Average Reward 0.32 	Last Property Result: None
237 Episode	Reward 1.0 	Average Reward 0.33 	Last Property Result: None
238 Episode	Reward 0.0 	Average Reward 0.33 	Last Property Result: None
239 Episode	Reward 1.0 	Average Reward 0.34 	Last Property Result: None
240 Episode	Reward 1.0 	Average Reward 0.35 	Last Property Result: None
241 Episode	Reward 1.0 	Average Reward 0.35 	Last Property Result: None
242 Episode	Reward 1.0 	Average Reward 0.36 	Last Property Result: None
243 Episode	Reward 1.0 	Average Reward 0.37 	Last Property Result: None
244 Episode	Reward 1.0 	Average Reward 0.38 	Last Property Result: None
245 Episode	Reward 1.0 	Average Reward 0.39 	Last Property Result: None
246 Episode	Reward 1.0 	Average Reward 0.4 	Last Property Result: None
247 Episode	Reward 1.0 	Average Reward 0.41 	Last Property Result: None
248 Episode	Reward 0.0 	Average Reward 0.41 	Last Property Result: None
249 Episode	Reward 0.0 	Average Reward 0.41 	Last Property Result: None
250 Episode	Reward 1.0 	Average Reward 0.42 	Last Property Result: None
251 Episode	Reward 1.0 	Average Reward 0.42 	Last Property Result: None
252 Episode	Reward 1.0 	Average Reward 0.43 	Last Property Result: None
253 Episode	Reward 1.0 	Average Reward 0.44 	Last Property Result: None
254 Episode	Reward 1.0 	Average Reward 0.44 	Last Property Result: None
255 Episode	Reward 0.0 	Average Reward 0.44 	Last Property Result: None
256 Episode	Reward 0.0 	Average Reward 0.44 	Last Property Result: None
257 Episode	Reward 0.0 	Average Reward 0.44 	Last Property Result: None
258 Episode	Reward 0.0 	Average Reward 0.44 	Last Property Result: None
259 Episode	Reward 1.0 	Average Reward 0.45 	Last Property Result: None
260 Episode	Reward 0.0 	Average Reward 0.45 	Last Property Result: None
261 Episode	Reward 1.0 	Average Reward 0.46 	Last Property Result: None
262 Episode	Reward 1.0 	Average Reward 0.46 	Last Property Result: None
263 Episode	Reward 0.0 	Average Reward 0.46 	Last Property Result: None
264 Episode	Reward 0.0 	Average Reward 0.46 	Last Property Result: None
265 Episode	Reward 1.0 	Average Reward 0.47 	Last Property Result: None
266 Episode	Reward 1.0 	Average Reward 0.48 	Last Property Result: None
267 Episode	Reward 0.0 	Average Reward 0.48 	Last Property Result: None
268 Episode	Reward 1.0 	Average Reward 0.49 	Last Property Result: None
269 Episode	Reward 0.0 	Average Reward 0.48 	Last Property Result: None
270 Episode	Reward 0.0 	Average Reward 0.47 	Last Property Result: None
271 Episode	Reward 1.0 	Average Reward 0.48 	Last Property Result: None
272 Episode	Reward 0.0 	Average Reward 0.48 	Last Property Result: None
273 Episode	Reward 0.0 	Average Reward 0.48 	Last Property Result: None
274 Episode	Reward 1.0 	Average Reward 0.49 	Last Property Result: None
275 Episode	Reward 1.0 	Average Reward 0.5 	Last Property Result: None
276 Episode	Reward 1.0 	Average Reward 0.51 	Last Property Result: None
277 Episode	Reward 1.0 	Average Reward 0.52 	Last Property Result: None
278 Episode	Reward 1.0 	Average Reward 0.53 	Last Property Result: None
279 Episode	Reward 0.0 	Average Reward 0.53 	Last Property Result: None
280 Episode	Reward 0.0 	Average Reward 0.52 	Last Property Result: None
281 Episode	Reward 0.0 	Average Reward 0.52 	Last Property Result: None
282 Episode	Reward 1.0 	Average Reward 0.52 	Last Property Result: None
283 Episode	Reward 0.0 	Average Reward 0.52 	Last Property Result: None
284 Episode	Reward 1.0 	Average Reward 0.53 	Last Property Result: None
285 Episode	Reward 0.0 	Average Reward 0.53 	Last Property Result: None
286 Episode	Reward 0.0 	Average Reward 0.52 	Last Property Result: None
287 Episode	Reward 0.0 	Average Reward 0.52 	Last Property Result: None
288 Episode	Reward 0.0 	Average Reward 0.51 	Last Property Result: None
289 Episode	Reward 1.0 	Average Reward 0.52 	Last Property Result: None
290 Episode	Reward 0.0 	Average Reward 0.52 	Last Property Result: None
291 Episode	Reward 1.0 	Average Reward 0.52 	Last Property Result: None
292 Episode	Reward 1.0 	Average Reward 0.52 	Last Property Result: None
293 Episode	Reward 0.0 	Average Reward 0.51 	Last Property Result: None
294 Episode	Reward 1.0 	Average Reward 0.52 	Last Property Result: None
295 Episode	Reward 1.0 	Average Reward 0.53 	Last Property Result: None
296 Episode	Reward 0.0 	Average Reward 0.53 	Last Property Result: None
297 Episode	Reward 0.0 	Average Reward 0.53 	Last Property Result: None
298 Episode	Reward 0.0 	Average Reward 0.53 	Last Property Result: None
299 Episode	Reward 0.0 	Average Reward 0.52 	Last Property Result: None
300 Episode	Reward 1.0 	Average Reward 0.53 	Last Property Result: None
301 Episode	Reward 1.0 	Average Reward 0.54 	Last Property Result: None
302 Episode	Reward 0.0 	Average Reward 0.53 	Last Property Result: None
303 Episode	Reward 1.0 	Average Reward 0.53 	Last Property Result: None
304 Episode	Reward 1.0 	Average Reward 0.53 	Last Property Result: None
305 Episode	Reward 1.0 	Average Reward 0.53 	Last Property Result: None
306 Episode	Reward 1.0 	Average Reward 0.54 	Last Property Result: None
307 Episode	Reward 1.0 	Average Reward 0.55 	Last Property Result: None
308 Episode	Reward 1.0 	Average Reward 0.55 	Last Property Result: None
309 Episode	Reward 1.0 	Average Reward 0.56 	Last Property Result: None
310 Episode	Reward 1.0 	Average Reward 0.57 	Last Property Result: None
311 Episode	Reward 1.0 	Average Reward 0.57 	Last Property Result: None
312 Episode	Reward 0.0 	Average Reward 0.57 	Last Property Result: None
